净连翘,6.0,6.0,0.0
僵蚕,300.0,0.3,299.7
芍药,400.0,0.75,399.25
白头翁,30.0,6.0,24.0
紫苏,45.0,2.4,42.6
芜荑仁,22.5,22.5,0.0
猪脂,2000.0,2000.0,0.0
溥荷叶,30.0,30.0,0.0
朴硝,15.0,15.0,0.0
络石藤,9.0,9.0,0.0
茵陈,30.0,12.0,18.0
独角仙,3.0,3.0,0.0
灯心灰,7.5,7.5,0.0
原麝香,1.5,1.5,0.0
肉桂,600.0,0.6,599.4
白茯苓桔梗,6.0,6.0,0.0
熊脂,30.0,30.0,0.0
核桃仁,120.0,120.0,0.0
蔷薇根,60.0,60.0,0.0
川花椒,3.0,3.0,0.0
莽草10叶,30.0,30.0,0.0
宣黄连,45.0,45.0,0.0
葶苈,30.0,30.0,0.0
麦冬,25000.0,1.5,24998.5
枯矾458,60.0,60.0,0.0
芦荟,15.0,1.5,13.5
官桂,210.0,1.5,208.5
栀子仁,90.0,6.0,84.0
大梅,2.5,2.5,0.0
铅丹,180.0,180.0,0.0
炮干姜,30.0,30.0,0.0
光草乌末,15.0,15.0,0.0
全蝎尾,75.0,75.0,0.0
大皂荚,150.0,6.0,144.0
天蓼木,30.0,30.0,0.0
馕？香子,15.0,15.0,0.0
土鳖虫,45.0,12.0,33.0
桂,90.0,7.5,82.5
砂仁,90.0,13.5,76.5
牵牛,30.0,15.0,15.0
挂心,30.0,30.0,0.0
生麻油,2.4,2.4,0.0
皂荚树根皮,30.0,30.0,0.0
细辛,300.0,0.3,299.7
干茄根,240.0,240.0,0.0
炮栀子,30.0,30.0,0.0
泽泻,1000.0,0.6,999.4
jiu黄芩,30.0,2.1,27.9
栀子,2000.0,1.2,1998.8
莪术,60.0,0.9,59.1
酥油,25.0,25.0,0.0
冰片,60.0,0.3,59.7
龟版,300.0,4.5,295.5
花粉,3000.0,1.8,2998.2
黄芪,5000.0,0.3,4999.7
米仁,150.0,1.5,148.5
净没药,1.5,1.5,0.0
追地风,60.0,60.0,0.0
紫苏叶,90.0,15.0,75.0
嫩桑枝,30.0,30.0,0.0
酒生地黄,15.0,6.0,9.0
熟黄芪,4.5,4.5,0.0
禹余粮,30.0,30.0,0.0
清麻油,1500.0,1500.0,0.0
樟胸,9.0,9.0,0.0
马钱子仁,30.0,21.0,9.0
降香,30.0,30.0,0.0
葛根,3000.0,1.0,2999.0
冬青叶,12.0,12.0,0.0
赤桂,15.0,15.0,0.0
龙胆草,120.0,1.5,118.5
苍耳子,250.0,0.3,249.7
紫石英,30.0,15.0,15.0
瓜蒌根,15.0,15.0,0.0
猪膏,2.4,2.4,0.0
清油,500.0,500.0,0.0
草决明,12500.0,1.8,12498.2
苍耳草,120.0,60.0,60.0
紫菀茸,3.0,3.0,0.0
石膏,1200.0,0.9,1199.1
芝麻,9.0,9.0,0.0
吴茱萸,50.0,3.0,47.0
牛胆星,6.0,6.0,0.0
山药,12500.0,2.4,12497.6
栝楼,9.0,1.0,8.0
蛇蜕,120.0,1.0,119.0
汉防己白术,15.0,15.0,0.0
肉苁蓉,12500.0,0.9,12499.1
鹿茸,90.0,22.5,67.5
薄菏,2.4,2.4,0.0
川连,60.0,0.9,59.1
蝉蜕,1500.0,1.2,1498.8
栀子花,90.0,90.0,0.0
陈醋,500.0,500.0,0.0
红粉,6.0,6.0,0.0
明朱砂,7.5,7.5,0.0
茯神,60.0,3.0,57.0
大枫子肉,120.0,120.0,0.0
车前子,1000.0,1.2,998.8
决明子,90.0,15.0,75.0
牛黄,75.0,1.5,73.5
使君子,45.0,45.0,0.0
千里光草,5000.0,5000.0,0.0
生石决明,15000.0,1000.0,14000.0
樟木子,30.0,30.0,0.0
青盐,120.0,15.0,105.0
煅石膏,7.5,7.5,0.0
青梅,20.0,20.0,0.0
当归身,30.0,0.9,29.1
川附子,300.0,3.0,297.0
全蛇蜕,1.0,1.0,0.0
木防己,12.0,3.0,9.0
磁石,60.0,30.0,30.0
青黛,300.0,2.4,297.6
杉木,60.0,60.0,0.0
百药煎,30.0,15.0,15.0
曲,30.0,30.0,0.0
鲜羊肝,10000.0,10000.0,0.0
柳皮,49.0,49.0,0.0
空青,45.0,45.0,0.0
豆蔻仁,300.0,300.0,0.0
白胡麻,12.0,12.0,0.0
绿豆粉,60.0,60.0,0.0
青化桂,6.0,6.0,0.0
虎骨,300.0,4.5,295.5
滑石,1200.0,0.9,1199.1
槐花,30.0,3.0,27.0
全蝎1对,15.0,15.0,0.0
乌梢蛇尾,2.0,2.0,0.0
乌梢蛇,120.0,1.0,119.0
蛇衔草,30.0,30.0,0.0
桃仁,120.0,1.5,118.5
白乳羊肝,1.0,1.0,0.0
薄桂,1.0,0.6,0.4
生龟版,30.0,30.0,0.0
地肤子,60.0,9.0,51.0
川断,120.0,6.0,114.0
密陀僧,30.0,3.0,27.0
山参,3.0,3.0,0.0
嫩松香,15.0,15.0,0.0
茶叶,60.0,60.0,0.0
蕲蛇肉,600.0,9.0,591.0
贯众,37.5,1.5,36.0
檀香根,6.0,6.0,0.0
青皮,300.0,0.9,299.1
胡麻子,30.0,15.0,15.0
钩尖,27.0,27.0,0.0
连翅,3.0,3.0,0.0
归身,60.0,4.5,55.5
腰黄朱砂,75.0,75.0,0.0
蒜头,2500.0,2500.0,0.0
真西珀,30.0,30.0,0.0
干蛤壳,7.5,7.5,0.0
山甲片,30.0,6.0,24.0
晚蚕蛾,30.0,7.5,22.5
北葶苈,30.0,30.0,0.0
蓉叶,30.0,30.0,0.0
真蕲艾,2000.0,2000.0,0.0
南青皮,15.0,15.0,0.0
樟木皮,30.0,30.0,0.0
西牛黄,3.0,3.0,0.0
秦皮,45.0,3.0,42.0
紫苏子,2.4,2.4,0.0
松脂,60.0,15.0,45.0
苏子,21.0,21.0,0.0
华阴细辛,7.5,7.5,0.0
伸筋草,6.0,6.0,0.0
丝瓜络,12.0,12.0,0.0
生蒜,2.0,2.0,0.0
淮乌,120.0,15.0,105.0
山豆根,300.0,1.5,298.5
紫参,30.0,15.0,15.0
甘枸杞,9.0,9.0,0.0
炒陈皮,45.0,45.0,0.0
明雄黄,18.0,3.0,15.0
楂肉,300.0,300.0,0.0
粉草,60.0,2.1,57.9
葛花,60.0,60.0,0.0
紫菀,30.0,15.0,15.0
白蜡,60.0,60.0,0.0
商陆,180.0,3.0,177.0
茵芋,30.0,15.0,15.0
赤茯苓,90.0,3.0,87.0
白术,500.0,0.3,499.7
龙骨,60.0,9.0,51.0
杏仁泥,9.0,9.0,0.0
乌贼骨,24.0,24.0,0.0
蚵蚾草,2500.0,15.0,2485.0
浮黄连,15.0,15.0,0.0
桑枝,90.0,30.0,60.0
龟甲,180.0,180.0,0.0
薏仁,90.0,2.4,87.6
熟地,600.0,4.5,595.5
黑栀,250.0,7.5,242.5
芍药升麻,15.0,15.0,0.0
鬼箭羽,22.5,22.5,0.0
当归头,3.0,3.0,0.0
九制豨莶草,50.0,50.0,0.0
天丁,30.0,30.0,0.0
大南星,25.0,25.0,0.0
山栀仁,2.4,2.4,0.0
金银花,480.0,0.3,479.7
荆子,3.0,3.0,0.0
蕲艾,9.0,9.0,0.0
木通,250.0,1.2,248.8
制杜仲,4.5,4.5,0.0
薄荷叶,500.0,3.0,497.0
草决明子,90.0,90.0,0.0
生石膏,25500.0,15.0,25485.0
川朴,450.0,3.0,447.0
竹沥,300.0,1.0,299.0
六轴子,30.0,30.0,0.0
石莲肉,75.0,75.0,0.0
大风子,600.0,15.0,585.0
制草乌,60.0,60.0,0.0
赤芍药,250.0,1.5,248.5
鲜红花,60.0,60.0,0.0
牛脂,30.0,30.0,0.0
姜黄,45.0,4.5,40.5
犀角尖,24.0,24.0,0.0
海石,30.0,30.0,0.0
炮附子,90.0,1.0,89.0
川乌头尖,3.0,3.0,0.0
鲜牛蒡子根叶梗,1500.0,1500.0,0.0
生铁,10000.0,10000.0,0.0
鹤虱,60.0,60.0,0.0
白菊花,60.0,15.0,45.0
炒栀子,3.0,3.0,0.0
鲜苍耳,240.0,240.0,0.0
青葱,240.0,2.0,238.0
麻黄根,60.0,1.5,58.5
广皮,180.0,6.0,174.0
虎胫骨,150.0,1.0,149.0
蒴藿根,90.0,90.0,0.0
人参,50000.0,0.9,49999.1
黄蜡,60.0,60.0,0.0
白杨皮,45.0,45.0,0.0
枯黄芩,120.0,120.0,0.0
川五灵脂,22.5,22.5,0.0
大黄,7680.0,1.0,7679.0
葶苈子,30.0,30.0,0.0
炒牛蒡子,9.0,6.0,3.0
胡芦巴,60.0,30.0,30.0
"乳
香",15.0,15.0,0.0
淮木通,3.0,3.0,0.0
牡荆子,60.0,30.0,30.0
踯躅花,60.0,3.0,57.0
道人头,45.0,30.0,15.0
地骨白皮,15.0,15.0,0.0
五味皮,45.0,45.0,0.0
黄柏,15000.0,0.6,14999.4
天麻,600.0,0.3,599.7
金铃子,30.0,30.0,0.0
通草,120.0,2.4,117.6
脑荷,15.0,3.0,12.0
生人中黄,6.0,6.0,0.0
乌药,7500.0,2.1,7497.9
九制大黄,1.2,1.2,0.0
干葛,90.0,1.8,88.2
黄连,12500.0,0.3,12499.7
枸杞,90.0,15.0,75.0
炙没药,9.0,9.0,0.0
昆布,30.0,0.6,29.4
天花粉,1000.0,1.5,998.5
活白凤仙梗,120.0,120.0,0.0
白茯苓,240.0,0.3,239.7
新罗人参,30.0,30.0,0.0
肥皂荚,7.0,1.0,6.0
炒僵蚕,9.0,9.0,0.0
玉竹,240.0,12.0,228.0
脑子,1.5,1.5,0.0
檀香,300.0,3.0,297.0
片黄芩,15.0,15.0,0.0
金箔,100.0,10.0,90.0
玄胡索,2.1,2.1,0.0
枳壳,12500.0,1.2,12498.8
墨,1.5,1.5,0.0
枸橘,1.0,1.0,0.0
土马钱子肉,15.0,15.0,0.0
山茶花,60.0,60.0,0.0
黄矾,7.5,7.5,0.0
苁蓉,90.0,30.0,60.0
牡荆实,22.5,22.5,0.0
黄明胶,15.0,15.0,0.0
上桂心,15.0,15.0,0.0
马齿苋,15.0,15.0,0.0
川牛膝,150.0,4.5,145.5
巴仁,12.0,12.0,0.0
蚌粉,30.0,30.0,0.0
藕节,3.0,3.0,0.0
炙草,60.0,1.0,59.0
白芍药,100.0,0.9,99.1
蓝实,45.0,15.0,30.0
铜青,9.0,9.0,0.0
浮萍,9.0,3.0,6.0
自然铜,300.0,15.0,285.0
漏芦,45.0,3.0,42.0
